Task,Duration,Due Date,Priority
Programming Week 8 Notes,1.5,2023-05-01,1
Programming Week 8 Labs,1,2023-05-01,2
Minidrone Matlab Onramp,2.5,2023-05-01,2
Minidrone Simulink Onramp,2.5,2023-05-01,2
Minidrone Stateflow Onramp,2.5,2023-05-01,2
Foundation Video Editing,3,2023-05-01,1
Maths Week 6 Questions,1,2023-05-05,1
Maths Week 7 Lectures,1.5,2023-05-05,1
Maths Week 7 Questions,2,2023-05-05,3
Programming Week 9 Lecture,1.5,2023-05-07,1
Programming Week 9 Notes,1.5,2023-05-07,1
Programming Week 9 Labs,1.5,2023-05-07,2
Programming Week 9 Lab Assesment,2,2023-05-07,3
Foundation Journal Writing,0.25,2023-05-01,1
Programming Code Comprehension,9,2023-05-09,3
